Município;Região Administrativa;Região de Governo;Distância da Capital (km);Número de Habitantes (em 2010);Porte;Possui Arquivo Público?;Tipo de Referência Legal que regulamenta Arquivo(s) Público(s);Número da Referência Legal que regulamenta Arquivo(s) Público(s);Data da Referência Legal que regulamenta Arquivo(s) Público(s);Ementa da Referência Legal que regulamenta Arquivo(s) Público(s);Nome Oficial do Arquivo Público 1;Vínculo do Arquivo Público 1;Endereço do Arquivo Público 1;Bairro do Arquivo Público 1;CEP do Arquivo Público 1;Telefone do Arquivo Público 1;E-mail do Arquivo Público 1;Site do Arquivo Público 1;Tipo de Referência Legal que regulamenta o Arquivo Público 1;Número da Referência Legal que regulamenta o Arquivo Público 1;Data da Referência Legal que regulamenta o Arquivo Público 1;Ementa da Referência Legal que regulamenta o Arquivo Público 1;Nome Oficial do Arquivo Público 2;Vínculo do Arquivo Público 2;Endereço do Arquivo Público 2;Bairro do Arquivo Público 2;CEP do Arquivo Público 2;Telefone do Arquivo Público 2;E-mail do Arquivo Público 2;Site do Arquivo Público 2;Tipo de Referência Legal que regulamenta o Arquivo Público 2;Número da Referência Legal que regulamenta o Arquivo Público 2;Data da Referência Legal que regulamenta o Arquivo Público 2;Ementa da Referência Legal que regulamenta o Arquivo Público 2;Possui Comissão de Avaliação de Documentos;Tipo de Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Data da Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Ementa da Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Observações sobre Comissão de Avaliação de Documentos;Possui Tabela de Temporalidade de Documentos;Tipo de Referência Legal que regulamenta a Comissão de Avaliação de Documentos;Número da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Data da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Ementa da Referência Legal que regulamenta a Tabela de Temporalidade de Documentos;Qual(is) Tabela de Temporalidade de Documentos possui;Observações sobre Tabela de Temporalidade de Documentos;Foi atendido pelo CAM (Centro de Assistência aos Municípios);Recebeu Visita Técnica do CAM (Centro de Assistência aos Municípios);Foi elaborado Parecer Técnico pelo CAM (Centro de Assistência aos Municípios);Participou de eventos sobre Gestão Documental promovidos pelo CAM (Centro de Assistência aos Municípios);Foi acionado pelo Ministério Público do Estado de São Paulo;Regulamentou a Lei de Acesso à Informação;Tipo da Referência Legal que regulamenta a Lei de Acesso à Informação;Número da Referência Legal que regulamenta a Lei de Acesso à Informação;Data da Referência Legal que regulamenta a Lei de Acesso à Informação;Ementa da Referência Legal que regulamenta a Lei de Acesso à Informação;Existe a previsão de pelo menos uma instância recursal;1ª Instância Recursal (obrigatória);2ª Instância Recursal;3ª Instância Recursal;4ª Instância Recursal;Existe a previsão para autoridades classificarem informações quanto ao grau de sigilo;Existe a previsão de responsabilização do servidor em caso de negativa de informação;Existe a previsão de criação do SIC (Serviço de Informação ao Cidadão);Vínculo e Localização do SIC (Serviço de Informação ao Cidadão);Nota obtida na 1ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Posição na 1ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Nota obtida na 2ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Posição na 2ª edição do Ranking da Transparência do MPF (Ministério Público Federal);Evolução no Ranking da Transparência do MPF (Ministério Público Federal) em relação à avaliação anterior
Rancharia;Região Administrativa de Presidente Prudente;Presidente Prudente;509;28.804;Pequeno 2;Sim;Lei;69;06/11/2008;Arquivo Público;Arquivo Público Municipal;Secretaria Municipal de Governo - Divisão Municipal de Patrimônio e Arquivo Público Municipal;;;;(18) 3265-9225;arquivogeral@rancharia.sp.gov.br;;Lei;69;06/11/2008;Arquivo Público;;;;;;;;;;;;;Não;;;;;;;;;;;;A Lei 069, de 06/11/2008 criou a Arquivo Público Municipal, prevendo a elaboração de TTD (art. 2º, X), mas não cria a CADA.;Sim;Não;Não;Não;Sim;Sim;Lei;15;20/03/2014;Regulamenta LAI;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Paço Municipal (recebe, autua e processa).;4,9;332;7;205;SUBIU
Redenção da Serra;Região Administrativa de São José dos Campos;Taubaté;168;3.873;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,4;274;6;323;SUBIU
Regente Feijó;Região Administrativa de Presidente Prudente;Presidente Prudente;547;18.494;Pequeno 1;Sim;Lei;2754;08/04/2013;Arquivo Publico e Histórico;Arquivo Público e Histórico Municipal Professora Mariza Honorato de Barros;Divisão Municipal de Cultura;;;;;;;Lei;2754;08/04/2013;Arquivo Publico e Histórico;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,4;389;3,7;533;CAIU
Reginópolis;Região Administrativa de Bauru;Bauru;396;7.323;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;0,7;624;6;323;SUBIU
Registro;Região Administrativa de Registro;Registro;191;54.261;Médio;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;6,1;178;6,8;229;SUBIU
Restinga;Região Administrativa de Franca;Franca;407;6.587;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;Sim;Não;;;;;;;;;;;;;;6,1;178;4;509;CAIU
Ribeira;Região Administrativa de Itapeva;Itapeva;357;3.358;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;6,6;115;5,1;419;CAIU
Ribeirão Bonito;Região Administrativa Central;São Carlos;279;12.135;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,2;300;3,8;527;CAIU
Ribeirão Branco;Região Administrativa de Itapeva;Itapeva;294;18.269;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Sim;Lei;11;03/06/2013;Regulamenta LAI;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Câmara Municipal: rua Capitão Elias Pereiras, nº 1346 (Único caso conhecido de SIC de Prefeitura siituado em Câmara Municipal).;4,7;350;1,7;602;CAIU
Ribeirão Corrente;Região Administrativa de Franca;Franca;439;4.273;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;;;;;;;;;;;;O Projeto de Lei nº 36, de 04/08/2016 que cria o Arquivo Público Municipal foi aprovado, porém a Lei não foi localizada.;Sim;Não;Não;Sim;Sim;Sim;Decreto;1458;27/11/2013;Regulamenta LAI;Sim;Diretor do Departamento que exarou a decisão impugnada.;Comissão Mista de Julgamento de Recursos de Acesso à Informação;Não há;Não há;Não;Não;Não;Sim;5;322;8,7;45;SUBIU
Ribeirão do Sul;Região Administrativa de Marília;Ourinhos;390;4.446;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;7;60;8,7;45;SUBIU
Ribeirão dos Índios;Região Administrativa de Presidente Prudente;Presidente Prudente;606;2.187;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;4,6;361;3,1;562;CAIU
Ribeirão Grande;Região Administrativa de Itapeva;Itapeva;240;7.422;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Sim;Decreto;34;17/08/2012;Regulamenta LAI;Sim;Prefeito Municipal;Não há;Não há;Não há;Não;Não;Sim;Protocolo Geral da Prefeitura: os pedidos são encaminhados para uma Comissão Especial.;6,4;141;5,3;399;CAIU
Ribeirão Pires;Região Administrativa de São Paulo;São Paulo;35;113.068;Grande;Sim;Lei;5223;24/11/2008;Cria Arquivo Público;Arquivo Público da Estância Turística de Ribeirão Pires;Secretaria de Administração;Avenida Santo André, 1013;;;(11) 4828-9800;silvia.as@ribeiraopires.sp.gov.br;;Lei;5223;24/11/2008;Cria Arquivo Público;;;;;;;;;;;;;Não;Lei;5223;24/11/2008;Cria Arquivo Público;;;;;;;;De acordo com a Lei nº 5.223, de 24/11/2008, Art. 6º: As Secretarias, autarquias, fundações instituídas ou mantidas pelo Poder Público, empresas públicas, sociedades de economia mista, entidades privadas encarregadas da gestão de serviços públicos e organizações sociais, definidas como tal pela Lei Complementar no 846, de 4 de Junho de 1998, deverão constituir, por meio de portaria, no prazo de 60 (sessenta) dias da publicação desta lei, sua respectiva Comissão de Avaliação de Documentos de Arquivo, visando à elaboração de propostas de Planos de Classificação e Tabelas de Temporalidade de Documentos.;Sim;Não;Não;Não;;Sim;Decreto;6494;28/08/2014;Regulamenta LAI;Sim;Secretário Municipal competente.;Comissão Mista de Reavaliação;Não há;Não há;Sim;Sim;Sim;Não determinada: Unidade Competente (Secretaria de Administração e Modernização). O Decreto não especifica a localização do SIC e nem a Primeira e Segunda Instâncias Recursais de maneira inequívoca.;4,8;338;3,3;553;CAIU
Ribeirão Preto;Região Administrativa de Ribeirão Preto;Ribeirão Preto;336;604.682;Grande;Sim;Lei Complementar;130;02/07/1992;Arquivo Público e Histórico;Arquivo Público e Histórico de Ribeirão Preto - Casa da Memória;Divisão de Preservação do Patrimônio Histórico e Cultural;Rua General Osório, 768;Centro;14010-000;(16) 3625-6712;arquivo@cultura.pmrp.com.br;http://www.arquivopublico.ribeiraopreto.sp.gov.br;Lei Complementar;130;02/07/1992;Arquivo Público e Histórico;;;;;;;;;;;;;Sim;Decreto;102;25/04/2016;;;Sim;;;;;;O Decreto 477, de 18/12/2008 homologa a Tabela de Temporalidade de Processos Administrativos, pertencentes à Administração Direta deste Município. Outro Decreto, o de nº 331, de 10/12/2010 homologa uma nova TTD, no mesmo sentido. De acordo com informações do parecer: Em Ribeirão Preto, existe a Comissão Permanente de Expurgo de Documentos - COPEDAG. No entanto, esta Comissão não cumpre todas as atribuições sugeridas a uma Comissão de Avaliação de Documentos e Acesso - CADA. Em 2015, em razão de Ação Civil Pública, foram suspensos os trabalhos da Comissão de Expurgos (ver a esse respeito, a Portaria 218, de 12/03/2015).;Sim;Não;Não;Não;Sim;Sim;Decreto;172;06/07/2012;Regulamenta LAI;Sim;Autoridade hierarquicamente superior a que adotou a decisão.;Autoridade máxima do órgão ou entidade;Não há;Não há;Não;Sim;Sim;Serviço de Atendimento ao Munícipe- SAM;4,7;350;9;35;SUBIU
Rifaina;Região Administrativa de Franca;Franca;479;3.436;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;7;60;8,7;45;SUBIU
Rincão;Região Administrativa Central;Araraquara;306;10.414;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;5,1;309;6,2;298;SUBIU
Rinópolis;Região Administrativa de Marília;Tupã;545;9.935;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;1755;30/10/2013;Regulamenta LAI;Sim;Autoridade Máxima do Órgão Responsável pela Resposta.;Prefeito Municipal;Não há;Não há;Não;Sim;Sim;Não determinada: coordenado pelo Controle Interno (Administração Direta e Indireta).;6,1;178;7,5;141;SUBIU
Rio Claro;Região Administrativa de Campinas;Rio Claro;190;186.253;Grande;Sim;Lei;1573;11/10/1979;Arquivo Público e Histórico;"Arquivo Público e Histórico ""Oscar de Arruda Penteado""";;Rua 6, 3265;Alto do Santana;13504-099;(19) 3522-1935/1938/37/48;arquivo@aphrioclaro.sp.gov.br;http://www.aphrioclaro.sp.gov.br;Lei;1573;11/10/1979;Arquivo Público e Histórico;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;10532;08/04/2016;Dispõe sobre a implementação na estrutura da Secretaria Economia e Finanças de meios de acesso às informações públicas, nos termos da Lei Federal nº 12.527, de 18 de novembro de 2011.;Sim;Autoridade Gestora Municipal;Chefe do Poder Executivo Municipal;Não há;Não há;Não;Não;Sim;Avenida 2 nº 130, CEP 13500-410;4;433;8,9;39;SUBIU
Rio das Pedras;Região Administrativa de Campinas;Piracicaba;158;29.501;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,8;221;6,2;298;SUBIU
Rio Grande da Serra;Região Administrativa de São Paulo;São Paulo;49;43.974;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;1,5;607;5,5;371;SUBIU
Riolândia;Região Administrativa de São José do Rio Preto;Votuporanga;575;10.575;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,7;239;5,5;371;CAIU
Riversul;Região Administrativa de Itapeva;Itapeva;380;6.163;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Sim;Lei;1530;21/08/2012;Lei de Acesso regulamentada;Sim;Autoridade Gestora Municipal;Chefe do Executivo ou Autoridade Máxima  dos órgãos públicos municipais dos Poderes Executivo e Legislativo, autarquias, fundações públicas, empresas públicas, sociedade de economia mista de âmbito municipal, bem como das demais entidades controladas direta ou indiretamente pelo Município;Não há;Não há;Sim;Sim;Sim;Não determinada.;5,4;274;5,1;419;CAIU
Rosana;Região Administrativa de Presidente Prudente;Presidente Prudente;755;19.691;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;1444;04/09/2014;Regulamenta LAI;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Não determinada. A Secretaria (recebe, autua e processa os pedidos): O texto da Lei não especifica que Secretaria é essa em que se encontra o SIC.;7,3;41;9,1;29;SUBIU
Roseira;Região Administrativa de São José dos Campos;Guaratinguetá;161;9.599;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,5;375;2,7;576;CAIU
Rubiácea;Região Administrativa de Araçatuba;Araçatuba;556;2.729;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,4;389;7,2;172;SUBIU
Rubinéia;Região Administrativa de São José do Rio Preto;Jales;648;2.862;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;1517;12/03/2015;Lei de Acesso regulamentada;Sim;Setor Jurídico da Prefeitura (com eventual consulta à Comissão de Avaliação de Documentos e Acesso - CADA).;Prefeito Municipal;Não há;Não há;Sim;Sim;Sim;Não determinada: vinculado ao Arquivo Público (autua e processa os pedidos).;4,8;338;5,9;336;SUBIU
Sabino;Região Administrativa de Bauru;Lins;466;5.217;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;5,4;274;0;641;CAIU
Sagres;Região Administrativa de Presidente Prudente;Adamantina;564;2.395;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,8;338;5,1;419;SUBIU
Sales;Região Administrativa de São José do Rio Preto;Catanduva;449;5.451;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;2,7;542;5,4;387;SUBIU
Sales Oliveira;Região Administrativa de Franca;São Joaquim da Barra;381;10.568;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,3;291;7,5;141;SUBIU
Salesópolis;Região Administrativa de São Paulo;São Paulo;109;15.635;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;2965;21/10/2013;Regulamenta LAI;Sim;Secretaria de Assuntos Jurídicos;Não há;Não há;Não há;Não;Sim;Sim;Não determinada: coordenação da Secretaria Municipal de Administração.;3,3;498;5,4;387;SUBIU
Salmourão;Região Administrativa de Presidente Prudente;Adamantina;572;4.818;Pequeno 1;Sim;Lei;954;26/03/2010;Arquivo Histórico Público;Arquivo Histórico Público Municipal;Gabinete do Chefe do Poder Executivo;;;;;;;Lei;954;26/03/2010;Arquivo Histórico Público;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;3,7;468;0;641;CAIU
Saltinho;Região Administrativa de Campinas;Piracicaba;176;7.059;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,2;166;8,2;83;SUBIU
Salto;Região Administrativa de Sorocaba;Sorocaba;104;105.516;Grande;Sim;Lei;2196;09/12/1999;Sistema de Arquivos;Arquivo Público;;;;;;;;Lei;2196;09/12/1999;Sistema de Arquivos;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;Sim;Não;;;;;;;;;;;;;;3,9;454;4,1;500;SUBIU
Salto de Pirapora;Região Administrativa de Sorocaba;Sorocaba;122;40.132;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;Sim;Não;;;;;;;;;;;;;;5,8;221;2,8;571;CAIU
Salto Grande;Região Administrativa de Marília;Ourinhos;382;8.787;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;2,1;576;0,6;628;CAIU
Sandovalina;Região Administrativa de Presidente Prudente;Presidente Prudente;608;3.699;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,3;155;4,1;500;CAIU
Santa Adélia;Região Administrativa de São José do Rio Preto;Catanduva;385;14.333;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;2123;06/08/2013;Regulamenta LAI;Sim;Autoridade que exarou a decisão impugnada.;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Avenida Duque de Caxias, 303 (Prefeitura).;4,8;338;5,5;371;SUBIU
Santa Albertina;Região Administrativa de São José do Rio Preto;Jales;630;5.723;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;5;322;5,6;362;SUBIU
Santa Bárbara d'Oeste;Região Administrativa de Campinas;Campinas;138;180.009;Grande;Sim;Lei;3546;12/12/2013;Organização Administrativa. Possui Arquivo Publico;Departamento de Arquivo;Secretaria Municipal de Administração;** Rua Profeta Malaquias, 179;;;;;;Lei;3546;12/12/2013;Organização Administrativa. Possui Arquivo Publico;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;6230;16/05/2013;Regulamenta LAI;Sim;Comissão Mista de Reavaliação de Informações;Prefeito Municipal;Não há;Não há;Não;Não;Sim;Centro Administrativo da Prefeitura Municipal (subordinado a Secretaria Municipal de Controle Geral).;6,1;178;6,2;298;SUBIU
Santa Branca;Região Administrativa de São José dos Campos;São José dos Campos;97;13.763;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,6;115;8,3;72;SUBIU
Santa Clara d'Oeste;Região Administrativa de São José do Rio Preto;Jales;653;2.084;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;5;322;6;323;SUBIU
Santa Cruz da Conceição;Região Administrativa de Campinas;Limeira;218;4.002;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;1975;21/05/2014;Lei de Acesso regulamentada;Sim;Autoridade que exarou a decisão desfavorável.;Autoridade hierarquicamente superior à que exarou a decisão impugnada.;Não há;Não há;Sim;Não;Sim;"Paço Municipal (recebe e protocoliza os pedidos). De acordo com o Art. 19: ""Todos os Departamentos, Órgãos e Entidades Integrantes da Administração Pública direta ou indireta deverão dispor de uma unidade física central para atendimento ao público, com a finalidade de abrigar todo o Serviço de Informação ao Cidadão (SIC)"".";6,7;102;3;568;CAIU
Santa Cruz da Esperança;Região Administrativa de Ribeirão Preto;Ribeirão Preto;332;1.953;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Lei;361;14/06/2013;Lei de Acesso regulamentada;Sim;Autoridade Gestora Municipal.;Chefe do Executivo ou Autoridade Máxima  dos órgãos públicos municipais dos Poderes Executivo e Legislativo, autarquias, fundações públicas, empresas públicas, sociedade de economia mista de âmbito municipal, bem como das demais entidades controladas direta ou indiretamente pelo Município.;Não há;Não há;Sim;Sim;Sim;Não determinada.;6,1;178;6,8;229;SUBIU
Santa Cruz das Palmeiras;Região Administrativa de Campinas;São João da Boa Vista;261;29.932;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Decreto;36;09/09/2013;Regulamenta LAI;Sim;Autoridade que exarou a decisão impugnada;Comissão Mista de Reavaliação de Informações;Não há;Não há;Não;Não;Sim;Sala do Departamento Jurídico da Prefeitura (Rua Monteiro de Barros, 507): Recebe, autua e processa os pedidos.;4,2;405;4,2;489;IGUAL
Santa Cruz do Rio Pardo;Região Administrativa de Marília;Ourinhos;342;43.921;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;5,5;265;9,6;12;SUBIU
Santa Ernestina;Região Administrativa Central;Araraquara;336;5.568;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,4;274;4;509;CAIU
Santa Fé do Sul;Região Administrativa de São José do Rio Preto;Jales;642;29.239;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;3322;20/05/2013;Lei de Acesso regulamentada;Sim;Autoridade hierarquicamente superior à que exarou a decisão impugnada.;Procuradoria Geral do Município;Comissão de Reavaliação de Informações;Não há;Sim;Sim;Sim;Ouvidoria Municipal (recebe os pedidos, mas não os protocoliza).;4;433;7,7;124;SUBIU
Santa Gertrudes;Região Administrativa de Campinas;Rio Claro;183;21.634;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,9;76;7,4;149;SUBIU
Santa Isabel;Região Administrativa de São Paulo;São Paulo;57;50.453;Médio;Sim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Lei;2830;30/05/2016;;;;;;;;;A Lei 2.830, de 30/05/2016 prevê, em seu art. 6º, incisos V e VI, a elaboração de Tabelas de Temporalidade e a eliminação de documentos. No art. 11, está prevista a nomeação de comissão, por Portaria, para eliminação de documentos.;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;8,2;14;9;35;SUBIU
Santa Lúcia;Região Administrativa Central;Araraquara;305;8.248;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5;322;6,3;283;SUBIU
Santa Maria da Serra;Região Administrativa de Campinas;Piracicaba;218;5.413;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;4,2;405;4,4;477;SUBIU
Santa Mercedes;Região Administrativa de Presidente Prudente;Dracena;657;2.831;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Não;;;;;;;;;;;;;;3;515;1,5;609;CAIU
Santa Rita d'Oeste;Região Administrativa de São José do Rio Preto;Jales;645;2.543;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;6,6;115;8,5;60;SUBIU
Santa Rita do Passa Quatro;Região Administrativa Central;São Carlos;271;26.478;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Sim;Decreto;2385;07/03/2013;Regulamenta LAI;Sim;Autoridade responsável pela unidade administrativa a que o Serviço de Informação ao Cidadão - SIC, estiver subordinado.;Não há;Não há;Não há;Não;Sim;Sim;Procuradoria Geral do Município (protocoliza requerimentos).;5,8;221;5,5;371;CAIU
Santa Rosa de Viterbo;Região Administrativa de Ribeirão Preto;Ribeirão Preto;302;23.862;Pequeno 2;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Não;;Sim;Lei;3993;18/06/2013;Regulamenta LAI;Não;Não há;Não há;Não há;Não há;Sim;Sim;Sim;Não é especificada a localização do SIC, mas estão sujeitos a esta Lei todos os órgãos públicos municipais dos Poderes Executivo e Legislativo, autarquias, fundações públicas, empresas públicas, sociedades de economia mista de âmbito municipal, bem como as demais entidades controladas direta ou indiretamente pelo Município (recebe e protocoliza os pedidos).;8,4;8;8,1;88;CAIU
Santa Salete;Região Administrativa de São José do Rio Preto;Jales;617;1.447;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não;Não;Não;Não;;Não;;;;;;;;;;;;;;1,7;597;2,9;570;SUBIU
Santana da Ponte Pensa;Região Administrativa de São José do Rio Preto;Jales;629;1.641;Pequeno 1;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Sim;Não;Não;Sim;;Não;;;;;;;;;;;;;;5,9;206;7;205;SUBIU
